23-6-2021 21:02:54 - Ch=3 size=208 tt=20:07:02.476 x=448 Q.f=65520 Q.v=90
23-6-2021 21:02:54 - Ch=3 size=212 tt=20:07:02.476 x=560 Q.f=65520 Q.v=89
23-6-2021 21:02:54 - Ch=3 size=216 tt=20:07:02.476 x=672 Q.f=65520 Q.v=88
23-6-2021 21:02:54 - Ch=3 size=194 tt=20:07:02.476 x=784 Q.f=65520 Q.v=87
23-6-2021 21:02:54 - Ch=3 size=238 tt=20:07:02.476 x=896 Q.f=65520 Q.v=86
23-6-2021 21:02:54 - Ch=3 size=252 tt=20:07:02.476 x=1008 Q.f=65520 Q.v=85
23-6-2021 21:02:54 - Ch=3 size=190 tt=20:07:02.476 x=1120 Q.f=65520 Q.v=84
23-6-2021 21:02:54 - Ch=3 size=188 tt=20:07:02.476 x=1232 Q.f=65520 Q.v=83
23-6-2021 21:02:54 - Ch=3 size=218 tt=20:07:02.476 x=1344 Q.f=65520 Q.v=82
23-6-2021 21:02:54 - Ch=3 size=234 tt=20:07:02.476 x=1456 Q.f=65520 Q.v=81
23-6-2021 21:02:54 -  count=14 step=1 time=72423708 y=768 y_last=768
23-6-2021 21:02:54 - Ch=3 size=296 tt=20:07:03.708 x=0 Q.f=65520 Q.v=94
23-6-2021 21:02:54 - Ch=3 size=398 tt=20:07:03.708 x=112 Q.f=65520 Q.v=96
23-6-2021 21:02:54 - Ch=3 size=520 tt=20:07:03.708 x=224 Q.f=65520 Q.v=98
23-6-2021 21:02:54 - Ch=3 size=556 tt=20:07:03.708 x=336 Q.f=65520 Q.v=100
23-6-2021 21:02:54 - Ch=3 size=562 tt=20:07:03.708 x=448 Q.f=65520 Q.v=100
23-6-2021 21:02:54 - Ch=3 size=562 tt=20:07:03.708 x=560 Q.f=65520 Q.v=100
23-6-2021 21:02:54 - Ch=3 size=600 tt=20:07:03.708 x=672 Q.f=65520 Q.v=100
23-6-2021 21:02:54 - Ch=3 size=542 tt=20:07:03.708 x=784 Q.f=65520 Q.v=99
23-6-2021 21:02:54 - Ch=3 size=580 tt=20:07:03.708 x=896 Q.f=65520 Q.v=98
23-6-2021 21:02:54 - Ch=3 size=614 tt=20:07:03.708 x=1008 Q.f=65520 Q.v=97
23-6-2021 21:02:54 - Ch=3 size=430 tt=20:07:03.708 x=1120 Q.f=65520 Q.v=96
23-6-2021 21:02:54 - Ch=3 size=382 tt=20:07:03.708 x=1232 Q.f=65520 Q.v=95
23-6-2021 21:02:54 - Ch=3 size=370 tt=20:07:03.708 x=1344 Q.f=65520 Q.v=94
23-6-2021 21:02:54 - Ch=3 size=368 tt=20:07:03.708 x=1456 Q.f=65520 Q.v=93
23-6-2021 21:02:54 -  count=14 step=1 time=72424940 y=776 y_last=776
